pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_31260	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_18.json	1020	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_18.md
BV1_31261	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_19.json	1017	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_19.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_19.md
BV1_31262	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_2.json	1010	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_2.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_2.md
BV1_31263	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_20.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_20.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_20.md
BV1_31264	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_21.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_21.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_21.md
BV1_31265	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_22.json	1001	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_22.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_22.md
BV1_31266	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_23.json	984	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_23.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_23.md
BV1_31267	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_24.json	1025	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_24.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_24.md
BV1_31268	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_25.json	977	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_25.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_25.md
BV1_31269	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_3.json	971	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_3.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_3.md
